departement	numdep	region	numregion	acc.corps.10	acc.corps.09	tues.10	tues.09	blesses.10	blesses.09	population	ratio	neoregion	neonumregion
Ain	D01	Rhone_Alpes	R22	442	486	54	51	659	663	588133	91.8	Auvergne_Rhone_Alpes	R84
Aisne	D02	Picardie	R19	310	322	41	49	415	402	538557	76.1	Hauts_de_France	R32
Allier	D03	Auvergne	R03	257	301	42	36	314	397	342114	122.8	Auvergne_Rhone_Alpes	R84
Alpes-de-Haute-Provence	D04	Provence_Alpes_Cote_dAzur	R21	113	125	19	19	158	192	159599	119	Provence_Alpes_Cote_dAzur	R93
Hautes-Alpes	D05	Provence_Alpes_Cote_dAzur	R21	66	111	15	11	100	153	135451	110.7	Provence_Alpes_Cote_dAzur	R93
Alpes-Maritimes	D06	Provence_Alpes_Cote_dAzur	R21	2380	2563	60	75	2883	3166	1091072	55	Provence_Alpes_Cote_dAzur	R93
Ardeche	D07	Rhone_Alpes	R22	165	203	25	32	224	286	313693	79.7	Auvergne_Rhone_Alpes	R84
Ardennes	D08	Champagne_Ardenne	R07	126	143	15	28	159	176	283159	53	Grand_Est	R44
Ariege	D09	Midi_Pyrenees	R14	104	116	19	9	125	149	151581	125.3	Occitanie	R76
Aube	D10	Champagne_Ardenne	R07	204	244	16	29	259	316	302267	52.9	Grand_Est	R44
Aude	D11	Languedoc_Roussillon	R11	509	492	36	52	642	623	353024	102	Occitanie	R76
Aveyron	D12	Midi_Pyrenees	R14	174	183	19	31	240	245	276779	68.6	Occitanie	R76
Bouches-du-Rhone	D13	Provence_Alpes_Cote_dAzur	R21	4357	3927	150	139	5587	5152	1979267	75.8	Provence_Alpes_Cote_dAzur	R93
Calvados	D14	Basse_Normandie	R16	423	575	37	51	563	777	680951	54.3	Normandie	R28
Cantal	D15	Auvergne	R03	79	87	8	9	97	119	148219	54	Auvergne_Rhone_Alpes	R84
Charente	D16	Poitou_Charentes	R20	231	143	39	25	265	167	352775	110.6	Nouvelle_Aquitaine	R75
Charente-Maritime	D17	Poitou_Charentes	R20	954	1038	73	64	1167	1291	616632	118.4	Nouvelle_Aquitaine	R75
Cher	D18	Centre	R06	372	398	29	39	482	490	312738	92.7	Cher_Val_de_Loire	R24
Correze	D19	Limousin	R12	259	291	23	24	332	363	243553	94.4	Nouvelle_Aquitaine	R75
Corse-du-Sud	D2A	Corse	R08	228	252	6	19	320	384	143051	41.9	Corse	R94
Haute-Corse	D2B	Corse	R08	356	372	30	27	515	528	163855	183.1	Corse	R94
Cote-dOr	D21	Bourgogne	R04	499	574	34	50	666	720	522971	65	Bourgogne_Franche_Comté	R27
Cotes-dArmor	D22	Bretagne	R05	436	521	39	41	580	726	585116	66.7	Bretagne	R53
Creuse	D23	Limousin	R12	78	97	10	10	89	117	123798	80.8	Nouvelle_Aquitaine	R75
Dordogne	D24	Aquitaine	R02	244	298	37	41	321	390	411266	90	Nouvelle_Aquitaine	R75
Doubs	D25	Franche_Comte	R09	291	499	44	39	353	627	525352	83.8	Bourgogne_Franche_Comté	R27
Drome	D26	Rhone_Alpes	R22	493	502	43	57	690	738	482101	89.2	Auvergne_Rhone_Alpes	R84
Eure	D27	Haute_Normandie	R17	369	446	47	52	464	582	581082	80.9	Normandie	R28
Eure-et-Loir	D28	Centre	R06	453	476	45	53	587	591	425023	105.9	Cher_Val_de_Loire	R24
Finistere	D29	Bretagne	R05	638	585	41	53	779	764	893687	45.9	Bretagne	R53
