"Etat","Date","Population","Crime_Violent"
"Alabama",1960,3266740,6097
"Alabama",1961,3302000,5564
"Alabama",1962,3358000,5283
"Alabama",1963,3347000,6115
"Alabama",1964,3407000,7260
"Alabama",1965,3462000,6916
"Alabama",1966,3517000,8098
"Alabama",1967,3540000,8448
"Alabama",1968,3566000,8288
"Alabama",1969,3531000,8842
"Alabama",1970,3444165,10185
"Alabama",1971,3479000,10835
"Alabama",1972,3510000,10994
"Alabama",1973,3539000,12390
"Alabama",1974,3577000,13338
"Alabama",1975,3614000,14201
"Alabama",1976,3665000,14248
"Alabama",1977,3690000,15293
"Alabama",1978,3742000,15682
"Alabama",1979,3769000,15578
"Alabama",1980,3861466,17320
"Alabama",1981,3916000,18423
"Alabama",1982,3943000,17653
"Alabama",1983,3959000,16471
"Alabama",1984,3990000,17204
"Alabama",1985,4021000,18398
"Alabama",1986,4053000,22616
"Alabama",1987,4083000,22833
"Alabama",1988,4127000,23052
"Alabama",1989,4118000,24329
"Alabama",1990,4040587,28630
"Alabama",1991,4089000,34518
"Alabama",1992,4136000,36052
"Alabama",1993,4187000,32676
"Alabama",1994,4219000,28844
"Alabama",1995,4253000,26894
"Alabama",1996,4273000,24159
"Alabama",1997,4319000,24379
"Alabama",1998,4352000,22286
"Alabama",1999,4370000,21421
"Alabama",2000,4447100,21620
"Alabama",2001,4464356,19582
"Alabama",2002,4478896,19931
"Alabama",2003,4503726,19331
"Alabama",2004,4525375,19324
"Alabama",2005,4557808,19678
"Alaska",1960,226167,236
"Alaska",1961,234000,208
"Alaska",1962,246000,225
"Alaska",1963,248000,272
"Alaska",1964,250000,375
"Alaska",1965,253000,377
"Alaska",1966,272000,409
"Alaska",1967,272000,437
"Alaska",1968,277000,486
"Alaska",1969,282000,624
"Alaska",1970,302173,840
"Alaska",1971,313000,1112
"Alaska",1972,325000,1204
"Alaska",1973,330000,1269
"Alaska",1974,337000,1527
"Alaska",1975,352000,1900
"Alaska",1976,382000,2063
"Alaska",1977,407000,1804
"Alaska",1978,403000,1781
"Alaska",1979,406000,1994
"Alaska",1980,440142,1919
"Alaska",1981,412000,2537
"Alaska",1982,438000,2732
"Alaska",1983,479000,2940
"Alaska",1984,500000,3108
"Alaska",1985,521000,3031
"Alaska",1986,534000,3046
